;state_code;county_code;site_num;address;state;county;city;date_local;unit_NO2;mean_NO2;firstMV_NO2;firstMH_NO2;aqi_NO2;unit_O3;mean_O3;firstMV_O3;firstMH_O3;aqi_O3;unit_SO2;mean_SO2;firstMV_SO2;firstMH_SO2;aqi_SO2;unit_CO;mean_CO;firstMV_CO;firstMH_CO;aqi_CO
309743;6;83;4003;STS POWER PLANT, VANDENBERG AFB;California;Santa Barbara;Vandenberg Air Force Base;2003-03-24;Parts per billion;0.045455;1.0;18;1;Parts per million;0.045958;0.048;9;41;Parts per billion;0.363636;1.0;5;1.0;Parts per million;0.009091;0.1;10;
405283;18;97;73;NAVAL AVIONICS CENTER, 6125 E. 16TH ST.;Indiana;Marion;Indianapolis (Remainder);2004-06-12;Parts per billion;8.208333;17.0;20;16;Parts per million;0.0207919999999999;0.032;12;27;Parts per billion;5.4875;21.0;20;;Parts per million;0.4625;0.5;0;6.0
17495;6;59;1003;2850 MESA VERDE DR EAST, COSTA MESA;California;Orange;Costa Mesa;2000-11-03;Parts per billion;29.608696000000002;51.0;0;48;Parts per million;0.013875;0.03;9;25;Parts per billion;0.695652;3.0;5;4.0;Parts per million;1.504167;2.7;7;31.0
192786;6;13;3001;583 W. 10TH ST., PITTSBURG;California;Contra Costa;Pittsburg;2002-10-13;Parts per billion;16.086957;42.0;18;40;Parts per million;0.036875;0.06;9;51;Parts per billion;3.863636;18.0;19;26.0;Parts per million;0.675;0.9;7;10.0
337099;36;103;9;57 DIVISION STREET;New York;Suffolk;Holtsville;2003-02-24;Parts per billion;20.541667;42.0;22;40;Parts per million;0.021833;0.036000000000000004;0;31;Parts per billion;10.625;19.0;23;27.0;Parts per million;0.1;0.3;19;
273820;48;141;58;5050A Yvette Drive;Texas;El Paso;El Paso;2002-05-02;Parts per billion;1.625;2.0;5;2;Parts per million;0.058458;0.063;18;61;Parts per billion;0.0;0.0;0;0.0;Parts per million;0.1;0.1;0;1.0
148965;22;33;9;1061-A Leesville Ave;Louisiana;East Baton Rouge;Baton Rouge;2001-12-17;Parts per billion;15.041667000000002;25.0;21;24;Parts per million;0.017;0.025;12;21;Parts per billion;0.7625;2.3;20;;Parts per million;0.741667;0.8;0;
202588;6;59;1003;2850 MESA VERDE DR EAST, COSTA MESA;California;Orange;Costa Mesa;2002-10-29;Parts per billion;16.565217;43.0;21;41;Parts per million;0.038083;0.0559999999999999;8;47;Parts per billion;1.114286;2.6;2;;Parts per million;0.31666700000000003;0.6;22;7.0
55357;22;33;9;1061-A Leesville Ave;Louisiana;East Baton Rouge;Baton Rouge;2000-07-21;Parts per billion;13.090909;25.0;23;24;Parts per million;0.0432079999999999;0.083;9;119;Parts per billion;0.454545;3.0;12;4.0;Parts per million;1.333333;1.4;0;16.0
123542;6;83;1025;LFC #1-LAS FLORES CANYON;California;Santa Barbara;Capitan;2001-08-02;Parts per billion;4.0434779999999995;7.0;0;7;Parts per million;0.0283329999999999;0.047;10;40;Parts per billion;0.5217390000000001;1.0;0;1.0;Parts per million;0.1708329999999999;0.2;0;2.0
370408;6;13;3001;583 W. 10TH ST., PITTSBURG;California;Contra Costa;Pittsburg;2004-12-31;Parts per billion;6.8260869999999985;14.0;6;13;Parts per million;0.0276839999999999;0.033;18;28;Parts per billion;0.347826;2.0;4;3.0;Parts per million;0.325;0.4;8;5.0
239822;25;25;42;HARRISON AVE;Massachusetts;Suffolk;Boston;2002-11-02;Parts per billion;16.454545;31.0;18;29;Parts per million;0.0167919999999999;0.027000000000000003;8;23;Parts per billion;5.1304349999999985;14.0;23;20.0;Parts per million;0.295833;0.5;0;6.0
88718;51;59;1004;          6100 ARLINGTON BLVD MONTG WARD;Virginia;Fairfax;Seven Corners;2000-07-18;Parts per billion;5.9565220000000005;18.0;23;17;Parts per million;0.048375;0.067;10;74;Parts per billion;6.071429;8.3;20;;Parts per million;0.770833;1.0;5;
213217;6;75;5;10 ARKANSAS ST.;California;San Francisco;San Francisco;2002-07-03;Parts per billion;7.217391;12.0;6;11;Parts per million;0.0215;0.024;0;20;Parts per billion;1.042857;1.3;8;;Parts per million;0.321739;0.4;6;
99403;6;13;1003;UNIT 759 EL PORTAL SHOPPING CENTER, San Pablo;California;Contra Costa;San Pablo;2001-08-26;Parts per billion;10.130435;23.0;23;22;Parts per million;0.020833;0.031;10;26;Parts per billion;0.9545450000000001;1.0;0;1.0;Parts per million;0.31666700000000003;0.4;0;5.0
304890;6;75;5;10 ARKANSAS ST.;California;San Francisco;San Francisco;2003-10-12;Parts per billion;25.347826;41.0;19;39;Parts per million;0.011625;0.027000000000000003;10;23;Parts per billion;1.7428569999999999;4.3;11;;Parts per million;0.779167;1.0;0;11.0
174498;42;129;8;DONOHOE ROAD - PENN DOT MAINT DIST BLDG;Pennsylvania;Westmoreland;Greensburg;2001-06-03;Parts per billion;9.416667;17.0;22;16;Parts per million;0.022875;0.0289999999999999;0;25;Parts per billion;5.8;8.3;2;;Parts per million;0.20416700000000002;0.3;0;3.0
